epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.2364,1.1636,1.33214,1.25577,0.65293,0.59724,0.67526,0.50652,1.06689,1.02011,1.10761,8.33e-06,8.33e-06,8.33e-06
2,190.409,1.1128,1.2906,1.23478,0.7005,0.60198,0.68938,0.51498,1.05931,0.98874,1.10207,1.76733e-05,1.76733e-05,1.76733e-05
3,296.887,1.20284,1.29772,1.23359,0.6994,0.60501,0.69252,0.51774,1.0561,0.97196,1.09885,2.68281e-05,2.68281e-05,2.68281e-05
4,399.568,1.16255,1.21903,1.21503,0.77361,0.60763,0.70453,0.52749,1.05292,0.95892,1.09608,3.57944e-05,3.57944e-05,3.57944e-05
5,502.292,1.12413,1.18214,1.21427,0.71757,0.63706,0.72067,0.54378,1.04393,0.94641,1.08891,4.45722e-05,4.45722e-05,4.45722e-05
6,607.045,1.12269,1.13289,1.19698,0.76567,0.65356,0.73239,0.55474,1.03403,0.93054,1.0811,5.31615e-05,5.31615e-05,5.31615e-05
7,714.352,1.10119,1.08919,1.173,0.76995,0.65841,0.73776,0.5588,1.03268,0.913,1.07861,6.15623e-05,6.15623e-05,6.15623e-05
8,824.563,1.12432,1.1066,1.19353,0.75243,0.67569,0.74888,0.56779,1.026,0.89769,1.07136,6.97746e-05,6.97746e-05,6.97746e-05
9,933.449,1.10494,1.09936,1.17774,0.77069,0.67825,0.75249,0.57172,1.01018,0.87794,1.06072,7.77984e-05,7.77984e-05,7.77984e-05
10,1041.55,1.06693,1.06392,1.1596,0.81011,0.67359,0.75364,0.57296,0.99947,0.86577,1.05583,8.56337e-05,8.56337e-05,8.56337e-05
11,1153.42,1.06529,1.03263,1.14758,0.79203,0.69423,0.75868,0.58143,0.98994,0.851,1.05113,9.32805e-05,9.32805e-05,9.32805e-05
